MCM_DECISION | long_score=1.2652 short_score=-2.0002 memory_center=0.2189 memory_strength=21 self_state=active attractor=cooperate best_score=1.2652 reject_reason=-
MCM_DECISION | long_score=-1.8425 short_score=1.1180 memory_center=0.3120 memory_strength=30 self_state=active attractor=cooperate best_score=1.1180 reject_reason=-
MCM_DECISION | long_score=-1.9770 short_score=1.2742 memory_center=0.3120 memory_strength=26 self_state=active attractor=cooperate best_score=1.2742 reject_reason=-
MCM_DECISION | long_score=0.0980 short_score=-0.7763 memory_center=0.3120 memory_strength=19 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.6235 short_score=-1.2955 memory_center=0.4505 memory_strength=28 self_state=active attractor=cooperate best_score=0.6235 reject_reason=-
MCM_DECISION | long_score=0.6687 short_score=-1.4274 memory_center=0.4505 memory_strength=24 self_state=active attractor=cooperate best_score=0.6687 reject_reason=-
MCM_DECISION | long_score=-1.2254 short_score=0.5436 memory_center=0.3231 memory_strength=32 self_state=stable attractor=cooperate best_score=0.5436 reject_reason=-
MCM_DECISION | long_score=0.7955 short_score=-1.5987 memory_center=0.3231 memory_strength=27 self_state=active attractor=cooperate best_score=0.7955 reject_reason=-
MCM_DECISION | long_score=1.1070 short_score=-1.9445 memory_center=1.7650 memory_strength=24 self_state=active attractor=explore best_score=1.1070 reject_reason=-
MCM_DECISION | long_score=1.1503 short_score=-1.9325 memory_center=1.7650 memory_strength=20 self_state=active attractor=explore best_score=1.1503 reject_reason=-
MCM_DECISION | long_score=1.4076 short_score=-2.3022 memory_center=2.1920 memory_strength=25 self_state=active attractor=explore best_score=1.4076 reject_reason=-
MCM_DECISION | long_score=1.3894 short_score=-2.3736 memory_center=2.1960 memory_strength=33 self_state=active attractor=explore best_score=1.3894 reject_reason=-
MCM_DECISION | long_score=-0.8568 short_score=-0.1372 memory_center=2.1980 memory_strength=34 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.0839 short_score=-0.8818 memory_center=2.1980 memory_strength=29 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.2564 short_score=-0.2897 memory_center=2.1980 memory_strength=25 self_state=stable attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.3149 short_score=0.6289 memory_center=2.1980 memory_strength=21 self_state=active attractor=explore best_score=0.6289 reject_reason=-
MCM_DECISION | long_score=0.3497 short_score=-0.8826 memory_center=0.0445 memory_strength=26 self_state=stable attractor=cooperate best_score=0.3497 reject_reason=-
MCM_DECISION | long_score=-0.5217 short_score=0.0484 memory_center=0.0445 memory_strength=22 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.5650 short_score=0.8165 memory_center=-1.1917 memory_strength=21 self_state=active attractor=analysis best_score=0.8165 reject_reason=-
MCM_DECISION | long_score=-0.3258 short_score=-0.3347 memory_center=-0.6126 memory_strength=23 self_state=active attractor=analysis best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.5010 short_score=1.7629 memory_center=-0.6126 memory_strength=20 self_state=active attractor=analysis best_score=1.7629 reject_reason=-
MCM_DECISION | long_score=-2.6091 short_score=1.6123 memory_center=-2.1079 memory_strength=25 self_state=active attractor=defense best_score=1.6123 reject_reason=-
MCM_DECISION | long_score=0.8648 short_score=-1.2334 memory_center=-0.0845 memory_strength=22 self_state=stable attractor=cooperate best_score=0.8648 reject_reason=-
MCM_DECISION | long_score=1.2041 short_score=-1.7252 memory_center=-0.0845 memory_strength=19 self_state=active attractor=cooperate best_score=1.2041 reject_reason=-
