TARGET_EXPECTATION ts=1768017300000000 label=target_watch side=LONG entry=135.5951 close=136.1500 tp=137.0747 tp_reachability=0.5337 target_path_integrity=0.6002 expectation_deviation=0.3892 expectation_break_pressure=0.3718 expectation_hold_support=0.5765 target_room_pressure=0.5983 target_semantic_confidence=0.5065 target_progress=0.3750 target_remaining_r=2.8181 target_recovery_potential=0.6621 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3525 break_to_recovery_delta=0.3518 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.5953 expectation_break_persistence=0.2396 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1768019700000000 label=target_pullback_observe side=LONG entry=135.5951 close=135.8300 tp=137.0747 tp_reachability=0.5370 target_path_integrity=0.5593 expectation_deviation=0.4530 expectation_break_pressure=0.3913 expectation_hold_support=0.5510 target_room_pressure=0.7276 target_semantic_confidence=0.6180 target_progress=0.1587 target_remaining_r=3.7934 target_recovery_potential=0.6441 target_recovery_momentum=0.0093 target_recovery_confirmation=0.3600 break_to_recovery_delta=0.3492 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.5529 expectation_break_persistence=0.2638 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1768022100000000 label=target_expectation_holds side=LONG entry=135.5951 close=135.9800 tp=137.0747 tp_reachability=0.5632 target_path_integrity=0.6229 expectation_deviation=0.4017 expectation_break_pressure=0.3570 expectation_hold_support=0.5985 target_room_pressure=0.6687 target_semantic_confidence=0.6052 target_progress=0.2601 target_remaining_r=3.3362 target_recovery_potential=0.6844 target_recovery_momentum=0.0019 target_recovery_confirmation=0.3722 break_to_recovery_delta=0.3710 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6000 expectation_break_persistence=0.2382 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1768024500000000 label=target_expectation_holds side=LONG entry=135.5951 close=135.9400 tp=137.0747 tp_reachability=0.5804 target_path_integrity=0.6291 expectation_deviation=0.4087 expectation_break_pressure=0.3595 expectation_hold_support=0.6080 target_room_pressure=0.6865 target_semantic_confidence=0.6419 target_progress=0.2331 target_remaining_r=3.4581 target_recovery_potential=0.6829 target_recovery_momentum=0.0864 target_recovery_confirmation=0.4145 break_to_recovery_delta=0.4104 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.5891 expectation_break_persistence=0.2392 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1768026900000000 label=target_pullback_observe side=LONG entry=135.5951 close=136.0500 tp=137.0747 tp_reachability=0.5184 target_path_integrity=0.5806 expectation_deviation=0.4146 expectation_break_pressure=0.3847 expectation_hold_support=0.5597 target_room_pressure=0.6525 target_semantic_confidence=0.5120 target_progress=0.3074 target_remaining_r=3.1229 target_recovery_potential=0.6389 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3453 break_to_recovery_delta=0.3435 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.5627 expectation_break_persistence=0.2517 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1768032000000000 label=target_expectation_holds side=LONG entry=135.5951 close=136.1800 tp=137.0747 tp_reachability=0.5889 target_path_integrity=0.6268 expectation_deviation=0.3539 expectation_break_pressure=0.3246 expectation_hold_support=0.6201 target_room_pressure=0.5848 target_semantic_confidence=0.5604 target_progress=0.3953 target_remaining_r=2.7267 target_recovery_potential=0.6468 target_recovery_momentum=0.3917 target_recovery_confirmation=0.5382 break_to_recovery_delta=0.5329 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.5521 expectation_break_persistence=0.2162 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1768037100000000 label=target_expectation_holds side=LONG entry=135.5951 close=136.2000 tp=137.0747 tp_reachability=0.5903 target_path_integrity=0.6424 expectation_deviation=0.3468 expectation_break_pressure=0.3238 expectation_hold_support=0.6262 target_room_pressure=0.5790 target_semantic_confidence=0.5645 target_progress=0.4088 target_remaining_r=2.6658 target_recovery_potential=0.6782 target_recovery_momentum=0.1781 target_recovery_confirmation=0.4509 break_to_recovery_delta=0.4520 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.5955 expectation_break_persistence=0.2139 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1768039500000000 label=target_expectation_holds side=LONG entry=135.5951 close=136.6800 tp=137.0747 tp_reachability=0.8145 target_path_integrity=0.7931 expectation_deviation=0.1558 expectation_break_pressure=0.1600 expectation_hold_support=0.8083 target_room_pressure=0.3574 target_semantic_confidence=0.7333 target_progress=0.7332 target_remaining_r=1.2029 target_recovery_potential=0.8421 target_recovery_momentum=0.0854 target_recovery_confirmation=0.4947 break_to_recovery_delta=0.5148 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.7961 expectation_break_persistence=0.1092 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1768041900000000 label=target_expectation_holds side=LONG entry=135.5951 close=137.0200 tp=137.0747 tp_reachability=0.8361 target_path_integrity=0.7954 expectation_deviation=0.1551 expectation_break_pressure=0.1558 expectation_hold_support=0.8175 target_room_pressure=0.2790 target_semantic_confidence=0.7374 target_progress=0.9630 target_remaining_r=0.1667 target_recovery_potential=0.8373 target_recovery_momentum=0.3168 target_recovery_confirmation=0.5987 break_to_recovery_delta=0.6106 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.7844 expectation_break_persistence=0.1020 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1768044300000000 label=target_expectation_holds side=LONG entry=135.5951 close=136.6700 tp=137.0747 tp_reachability=0.5950 target_path_integrity=0.6100 expectation_deviation=0.3420 expectation_break_pressure=0.3269 expectation_hold_support=0.6101 target_room_pressure=0.4459 target_semantic_confidence=0.5081 target_progress=0.7265 target_remaining_r=1.2334 target_recovery_potential=0.7024 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3675 break_to_recovery_delta=0.3667 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6694 expectation_break_persistence=0.2086 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
