timestamp;runtime_tick;sequence;phase;reason;decision;field_label;field_focus;field_clarity;field_stability;field_fragmentation;field_strain;field_pressure;field_support;field_observation_need;field_replan_pressure;field_action_support;action_clearance;action_inhibition;regulated_courage;decision_strength;state_maturity;decision_readiness;processing_load;processing_tension;felt_pressure;felt_stability;thought_pressure;thought_support;context_cluster_id;inner_context_cluster_id
1767391200000000;53;50;observe;zero_point_regulation;WAIT;active_perception_field;0.0000;0.2506;0.0000;0.0000;0.0000;0.3327;0.3381;0.2493;0.2311;0.2059;0.6796;0.3467;0.5834;0.9660;0.7017;0.6516;0.8910;0.8994;0.4905;1.0000;0.1371;1.0000;ctx_16;inner_ctx_6
1767391500000000;54;51;observe;zero_point_regulation;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1497;0.1725;0.0187;0.6035;0.3469;0.5451;-0.5395;0.6406;0.6091;0.7239;0.6920;0.2679;1.0000;0.0764;1.0000;ctx_33;inner_ctx_1
1767391800000000;55;52;hold;fused_score_too_low;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1625;0.1798;0.0198;0.6459;0.2834;0.5836;0.0078;0.7468;0.7295;0.5337;0.4537;0.2582;1.0000;0.0755;1.0000;-;inner_ctx_6
1767392100000000;56;53;observe;zero_point_regulation;WAIT;fragmented_perception_field;0.0000;0.1346;0.0000;0.0000;0.0000;0.2901;0.0108;0.4419;0.4844;0.0044;0.6887;0.3153;0.5992;0.6506;0.8056;0.7624;0.5749;0.4743;0.3343;1.0000;0.1379;1.0000;ctx_10;inner_ctx_6
1767392400000000;57;54;hold;stressed_block;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1513;0.1745;0.0254;0.6769;0.2472;0.6054;-0.1144;0.7581;0.7525;0.4896;0.3747;0.1712;1.0000;0.0911;1.0000;ctx_49;inner_ctx_3
1767392700000000;58;55;hold;maturity_block;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1545;0.1761;0.0308;0.6972;0.2344;0.6281;0.9523;0.7960;0.7731;0.4066;0.3014;0.1908;1.0000;0.1051;1.0000;ctx_49;inner_ctx_6
1767393300000000;60;57;observe;structure_bearing_observe;LONG;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1442;0.1695;0.0339;0.6877;0.2198;0.6238;0.6542;0.7400;0.7399;0.4600;0.3547;0.2312;1.0000;0.0879;1.0000;ctx_8;inner_ctx_6
1767393600000000;61;58;observe;development_reframe_observe;LONG;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1460;0.1717;0.0225;0.6794;0.2529;0.6232;0.0136;0.7272;0.7292;0.4988;0.4394;0.2996;1.0000;0.0875;1.0000;ctx_25;inner_ctx_6
1767393900000000;62;59;hold;maturity_block;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1481;0.1735;0.0442;0.6923;0.2106;0.6487;0.7422;0.7589;0.7481;0.4558;0.3477;0.2270;1.0000;0.0866;1.0000;ctx_21;inner_ctx_6
1767394200000000;63;60;hold;maturity_block;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1429;0.1702;0.0351;0.6971;0.2115;0.6615;0.1961;0.7549;0.7416;0.5256;0.3845;0.2091;1.0000;0.0867;1.0000;ctx_13;inner_ctx_6
