TARGET_EXPECTATION ts=1767618300000000 label=target_pullback_observe side=SHORT entry=135.1615 close=135.1100 tp=133.7414 tp_reachability=0.5183 target_path_integrity=0.5272 expectation_deviation=0.3013 expectation_break_pressure=0.2926 expectation_hold_support=0.5378 target_room_pressure=0.5885 target_semantic_confidence=0.5284 target_progress=0.0362 target_remaining_r=4.5393 target_recovery_potential=0.5940 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3433 break_to_recovery_delta=0.3438 current_route_familiarity=0.3684 current_semantic_shift_pressure=0.1823 current_transfer_bearing=0.3544 semantic_transfer_stress=0.3326 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6013 expectation_break_persistence=0.2156 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767622800000000 label=target_expectation_holds side=SHORT entry=133.6000 close=133.4700 tp=132.5707 tp_reachability=0.6674 target_path_integrity=0.7058 expectation_deviation=0.1859 expectation_break_pressure=0.1866 expectation_hold_support=0.6889 target_room_pressure=0.5051 target_semantic_confidence=0.7199 target_progress=0.1263 target_remaining_r=0.8826 target_recovery_potential=0.6768 target_recovery_momentum=0.1734 target_recovery_confirmation=0.4866 break_to_recovery_delta=0.5057 current_route_familiarity=0.4272 current_semantic_shift_pressure=0.2580 current_transfer_bearing=0.4358 semantic_transfer_stress=0.3354 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6693 expectation_break_persistence=0.1472 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767638400000000 label=target_expectation_holds side=LONG entry=136.0090 close=136.6800 tp=137.5937 tp_reachability=0.7919 target_path_integrity=0.7939 expectation_deviation=0.1508 expectation_break_pressure=0.1538 expectation_hold_support=0.8095 target_room_pressure=0.3285 target_semantic_confidence=0.7544 target_progress=0.4234 target_remaining_r=2.9187 target_recovery_potential=0.8051 target_recovery_momentum=0.8716 target_recovery_confirmation=0.8405 break_to_recovery_delta=0.8323 current_route_familiarity=0.4033 current_semantic_shift_pressure=0.1950 current_transfer_bearing=0.3996 semantic_transfer_stress=0.3215 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.7192 expectation_break_persistence=0.1052 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767642300000000 label=target_expectation_holds side=LONG entry=138.2500 close=138.4200 tp=139.5479 tp_reachability=0.6206 target_path_integrity=0.6706 expectation_deviation=0.1887 expectation_break_pressure=0.1921 expectation_hold_support=0.6467 target_room_pressure=0.4481 target_semantic_confidence=0.6370 target_progress=0.1310 target_remaining_r=1.3789 target_recovery_potential=0.6067 target_recovery_momentum=0.3650 target_recovery_confirmation=0.5444 break_to_recovery_delta=0.5601 current_route_familiarity=0.4284 current_semantic_shift_pressure=0.2394 current_transfer_bearing=0.4326 semantic_transfer_stress=0.3282 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.5935 expectation_break_persistence=0.1521 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767644700000000 label=target_expectation_holds side=LONG entry=138.2500 close=139.6900 tp=139.5479 tp_reachability=0.7963 target_path_integrity=0.7489 expectation_deviation=0.1642 expectation_break_pressure=0.1506 expectation_hold_support=0.7825 target_room_pressure=0.1360 target_semantic_confidence=0.6761 target_progress=1.0000 target_remaining_r=0.0000 target_recovery_potential=0.7659 target_recovery_momentum=0.4355 target_recovery_confirmation=0.6277 break_to_recovery_delta=0.6385 current_route_familiarity=0.4284 current_semantic_shift_pressure=0.2394 current_transfer_bearing=0.4326 semantic_transfer_stress=0.3282 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.7201 expectation_break_persistence=0.0988 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767670800000000 label=target_expectation_holds side=LONG entry=138.3500 close=138.3000 tp=139.6651 tp_reachability=0.5894 target_path_integrity=0.6394 expectation_deviation=0.2376 expectation_break_pressure=0.2387 expectation_hold_support=0.6175 target_room_pressure=0.5919 target_semantic_confidence=0.6557 target_progress=0.0000 target_remaining_r=2.0260 target_recovery_potential=0.2743 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3164 break_to_recovery_delta=0.3976 current_route_familiarity=0.4208 current_semantic_shift_pressure=0.2346 current_transfer_bearing=0.4650 semantic_transfer_stress=0.3196 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.0000 expectation_break_persistence=0.1825 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767673200000000 label=target_expectation_holds side=LONG entry=138.3500 close=138.8200 tp=139.6651 tp_reachability=0.7202 target_path_integrity=0.7623 expectation_deviation=0.1670 expectation_break_pressure=0.1695 expectation_hold_support=0.7393 target_room_pressure=0.3750 target_semantic_confidence=0.7249 target_progress=0.3574 target_remaining_r=1.2543 target_recovery_potential=0.7678 target_recovery_momentum=0.0000 target_recovery_confirmation=0.4351 break_to_recovery_delta=0.4593 current_route_familiarity=0.4208 current_semantic_shift_pressure=0.2346 current_transfer_bearing=0.4650 semantic_transfer_stress=0.3196 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.7721 expectation_break_persistence=0.1249 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767676500000000 label=target_pullback_observe side=LONG entry=138.3500 close=138.5200 tp=139.6651 tp_reachability=0.5367 target_path_integrity=0.5792 expectation_deviation=0.2906 expectation_break_pressure=0.2829 expectation_hold_support=0.5635 target_room_pressure=0.5646 target_semantic_confidence=0.5632 target_progress=0.1293 target_remaining_r=1.6995 target_recovery_potential=0.5395 target_recovery_momentum=0.6757 target_recovery_confirmation=0.6429 break_to_recovery_delta=0.6327 current_route_familiarity=0.4208 current_semantic_shift_pressure=0.2346 current_transfer_bearing=0.4650 semantic_transfer_stress=0.3196 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.4572 expectation_break_persistence=0.2065 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767684600000000 label=target_expectation_holds side=SHORT entry=138.1000 close=137.8600 tp=136.9865 tp_reachability=0.6725 target_path_integrity=0.7294 expectation_deviation=0.1834 expectation_break_pressure=0.1853 expectation_hold_support=0.6968 target_room_pressure=0.4545 target_semantic_confidence=0.6966 target_progress=0.2155 target_remaining_r=1.0762 target_recovery_potential=0.3241 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3454 break_to_recovery_delta=0.4404 current_route_familiarity=0.4082 current_semantic_shift_pressure=0.2315 current_transfer_bearing=0.3839 semantic_transfer_stress=0.3398 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.0000 expectation_break_persistence=0.1423 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767687000000000 label=target_expectation_holds side=SHORT entry=138.1000 close=137.9200 tp=136.9865 tp_reachability=0.6059 target_path_integrity=0.6867 expectation_deviation=0.2364 expectation_break_pressure=0.2310 expectation_hold_support=0.6431 target_room_pressure=0.5345 target_semantic_confidence=0.6522 target_progress=0.1617 target_remaining_r=1.1502 target_recovery_potential=0.6631 target_recovery_momentum=0.1809 target_recovery_confirmation=0.4713 break_to_recovery_delta=0.4844 current_route_familiarity=0.4082 current_semantic_shift_pressure=0.2315 current_transfer_bearing=0.3839 semantic_transfer_stress=0.3398 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6144 expectation_break_persistence=0.1730 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
