MCM_DECISION | long_score=-2.4410 short_score=0.6897 memory_center=-2.4703 memory_strength=35 self_state=stressed attractor=defense felt_bearing_score=0.5869 felt_profile_label=recovering best_score=0.6897 reject_reason=-
MCM_DECISION | long_score=-0.0230 short_score=-1.7664 memory_center=-2.3820 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.5881 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.1847 short_score=-1.8274 memory_center=-2.4387 memory_strength=35 self_state=stressed attractor=defense felt_bearing_score=0.5884 felt_profile_label=mixed_unclear best_score=0.1847 reject_reason=-
MCM_DECISION | long_score=0.0817 short_score=-1.3901 memory_center=-0.2132 memory_strength=21 self_state=stressed attractor=cooperate felt_bearing_score=0.5916 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.4306 short_score=-1.8097 memory_center=0.7582 memory_strength=25 self_state=stressed attractor=cooperate felt_bearing_score=0.3769 felt_profile_label=mixed_unclear best_score=0.4306 reject_reason=-
MCM_DECISION | long_score=-0.5203 short_score=-0.9877 memory_center=1.3701 memory_strength=33 self_state=stressed attractor=neutral felt_bearing_score=0.6061 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.3473 short_score=-1.2025 memory_center=-1.0091 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.6026 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.3901 short_score=0.5598 memory_center=-1.3255 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.5978 felt_profile_label=mixed_unclear best_score=0.5598 reject_reason=-
MCM_DECISION | long_score=-3.1278 short_score=1.2946 memory_center=-2.2197 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.6121 felt_profile_label=mixed_unclear best_score=1.2946 reject_reason=-
MCM_DECISION | long_score=0.6224 short_score=-1.7984 memory_center=-1.4766 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.6012 felt_profile_label=mixed_unclear best_score=0.6224 reject_reason=-
MCM_DECISION | long_score=-0.6672 short_score=-0.7091 memory_center=1.4918 memory_strength=26 self_state=stressed attractor=neutral felt_bearing_score=0.5885 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.9846 short_score=-2.4919 memory_center=1.4124 memory_strength=23 self_state=stressed attractor=neutral felt_bearing_score=0.5830 felt_profile_label=mixed_unclear best_score=0.9846 reject_reason=-
MCM_DECISION | long_score=-2.0319 short_score=0.9617 memory_center=1.2780 memory_strength=26 self_state=stressed attractor=neutral felt_bearing_score=0.6062 felt_profile_label=mixed_unclear best_score=0.9617 reject_reason=-
