MCM_DECISION | long_score=-2.8078 short_score=1.3300 memory_center=-0.9140 memory_strength=33 self_state=stressed attractor=defense felt_bearing_score=0.3376 felt_profile_label=mixed_unclear best_score=1.3300 reject_reason=-
MCM_DECISION | long_score=1.4378 short_score=-2.4144 memory_center=0.6027 memory_strength=25 self_state=stressed attractor=cooperate felt_bearing_score=0.3359 felt_profile_label=mixed_unclear best_score=1.4378 reject_reason=-
MCM_DECISION | long_score=0.6449 short_score=-1.8309 memory_center=-1.5690 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.3299 felt_profile_label=mixed_unclear best_score=0.6449 reject_reason=-
MCM_DECISION | long_score=-0.3681 short_score=-0.7803 memory_center=-2.1816 memory_strength=27 self_state=stressed attractor=defense felt_bearing_score=0.3256 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.6319 short_score=0.5394 memory_center=-2.1956 memory_strength=27 self_state=stressed attractor=defense felt_bearing_score=0.3443 felt_profile_label=mixed_unclear best_score=0.5394 reject_reason=-
MCM_DECISION | long_score=-0.6444 short_score=-0.4442 memory_center=-1.7230 memory_strength=27 self_state=active attractor=defense felt_bearing_score=0.3272 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.7778 short_score=0.8322 memory_center=-0.1827 memory_strength=29 self_state=active attractor=cooperate felt_bearing_score=0.3344 felt_profile_label=mixed_unclear best_score=0.8322 reject_reason=-
MCM_DECISION | long_score=0.3904 short_score=-1.4783 memory_center=1.1535 memory_strength=32 self_state=stressed attractor=cooperate felt_bearing_score=0.3544 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.2768 short_score=-1.2136 memory_center=0.2017 memory_strength=32 self_state=active attractor=cooperate felt_bearing_score=0.3264 felt_profile_label=mixed_unclear best_score=0.2768 reject_reason=-
MCM_DECISION | long_score=1.2402 short_score=-2.5401 memory_center=0.1194 memory_strength=31 self_state=stressed attractor=cooperate felt_bearing_score=0.3379 felt_profile_label=mixed_unclear best_score=1.2402 reject_reason=-
