MCM_DECISION | long_score=-1.5865 short_score=-0.2139 memory_center=-0.5170 memory_strength=27 self_state=stressed attractor=defense felt_bearing_score=0.5776 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.1847 short_score=-0.2581 memory_center=-0.9019 memory_strength=30 self_state=stressed attractor=defense felt_bearing_score=0.6196 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-1.1070 short_score=-1.0047 memory_center=-2.4407 memory_strength=43 self_state=stressed attractor=defense felt_bearing_score=0.6117 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.6779 short_score=-2.0261 memory_center=-2.2193 memory_strength=29 self_state=stressed attractor=defense felt_bearing_score=0.6208 felt_profile_label=mixed_unclear best_score=0.6779 reject_reason=-
MCM_DECISION | long_score=-2.6406 short_score=0.8593 memory_center=-1.1196 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.6166 felt_profile_label=mixed_unclear best_score=0.8593 reject_reason=-
MCM_DECISION | long_score=-1.8068 short_score=0.6605 memory_center=1.2474 memory_strength=30 self_state=stressed attractor=neutral felt_bearing_score=0.6081 felt_profile_label=mixed_unclear best_score=0.6605 reject_reason=-
MCM_DECISION | long_score=-0.7265 short_score=-0.8024 memory_center=2.3834 memory_strength=28 self_state=stressed attractor=explore felt_bearing_score=0.6058 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.3718 short_score=0.9548 memory_center=1.4115 memory_strength=31 self_state=stressed attractor=neutral felt_bearing_score=0.6139 felt_profile_label=mixed_unclear best_score=0.9548 reject_reason=-
MCM_DECISION | long_score=-1.7030 short_score=0.3667 memory_center=0.6702 memory_strength=33 self_state=stressed attractor=cooperate felt_bearing_score=0.5953 felt_profile_label=mixed_unclear best_score=0.3667 reject_reason=-
MCM_DECISION | long_score=-0.4042 short_score=-1.0489 memory_center=-2.4067 memory_strength=38 self_state=stressed attractor=defense felt_bearing_score=0.5948 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.6933 short_score=-2.1786 memory_center=-0.5229 memory_strength=17 self_state=stressed attractor=defense felt_bearing_score=0.6167 felt_profile_label=mixed_unclear best_score=0.6933 reject_reason=-
MCM_DECISION | long_score=0.6367 short_score=-1.8147 memory_center=1.1515 memory_strength=26 self_state=stressed attractor=cooperate felt_bearing_score=0.5924 felt_profile_label=mixed_unclear best_score=0.6367 reject_reason=-
MCM_DECISION | long_score=-0.4540 short_score=-0.8453 memory_center=2.3054 memory_strength=25 self_state=stressed attractor=explore felt_bearing_score=0.5991 felt_profile_label=recovering best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.8279 short_score=-2.0401 memory_center=-0.2054 memory_strength=26 self_state=stressed attractor=cooperate felt_bearing_score=0.6059 felt_profile_label=mixed_unclear best_score=0.8279 reject_reason=-
MCM_DECISION | long_score=-0.0292 short_score=-1.0508 memory_center=0.3720 memory_strength=24 self_state=stressed attractor=cooperate felt_bearing_score=0.6200 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.1102 short_score=-0.6280 memory_center=-2.4604 memory_strength=23 self_state=stressed attractor=defense felt_bearing_score=0.5954 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-0.1695 short_score=-1.2734 memory_center=-2.0876 memory_strength=22 self_state=stressed attractor=defense felt_bearing_score=0.5917 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.0596 short_score=0.2958 memory_center=-1.2340 memory_strength=26 self_state=stressed attractor=defense felt_bearing_score=0.6074 felt_profile_label=mixed_unclear best_score=0.2958 reject_reason=-
MCM_DECISION | long_score=-2.2499 short_score=1.0518 memory_center=0.3469 memory_strength=27 self_state=stressed attractor=cooperate felt_bearing_score=0.5922 felt_profile_label=mixed_unclear best_score=1.0518 reject_reason=-
MCM_DECISION | long_score=-0.4819 short_score=-1.1254 memory_center=0.2068 memory_strength=31 self_state=stressed attractor=cooperate felt_bearing_score=0.6117 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.0660 short_score=-1.5065 memory_center=-2.3455 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.3791 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.9347 short_score=0.5129 memory_center=0.2151 memory_strength=32 self_state=stressed attractor=cooperate felt_bearing_score=0.6108 felt_profile_label=mixed_unclear best_score=0.5129 reject_reason=-
MCM_DECISION | long_score=-2.6902 short_score=1.0797 memory_center=-0.7907 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.6063 felt_profile_label=mixed_unclear best_score=1.0797 reject_reason=-
