MCM_STATE | mode=market impulse=-0.2466 motivation=0.0138 risk=-0.1608 replay=0.0016 self_state=stressed attractor=defense mean_energy=-0.8810 mean_motivation=0.0232 mean_risk=-2.0591 mean_velocity=0.1408 clusters=1 memory_center=-2.1766 memory_strength=20
MCM_STATE | mode=market impulse=-1.0968 motivation=-0.1090 risk=-0.2425 replay=0.0097 self_state=stressed attractor=defense mean_energy=-2.4152 mean_motivation=-0.0751 mean_risk=-2.0028 mean_velocity=0.6580 clusters=1 memory_center=-0.8758 memory_strength=30
MCM_STATE | mode=market impulse=0.1543 motivation=0.0665 risk=-0.0711 replay=0.0026 self_state=stressed attractor=defense mean_energy=-1.4788 mean_motivation=-0.0096 mean_risk=-1.9954 mean_velocity=0.3038 clusters=1 memory_center=-1.7427 memory_strength=24
MCM_STATE | mode=market impulse=0.4715 motivation=0.1193 risk=-0.0579 replay=0.0097 self_state=stressed attractor=defense mean_energy=-0.1683 mean_motivation=0.1708 mean_risk=-1.7899 mean_velocity=0.2668 clusters=1 memory_center=-0.8691 memory_strength=36
MCM_STATE | mode=market impulse=0.6070 motivation=0.1737 risk=-0.0553 replay=0.0036 self_state=stressed attractor=neutral mean_energy=2.0364 mean_motivation=0.3141 mean_risk=-1.7176 mean_velocity=0.3742 clusters=1 memory_center=1.2898 memory_strength=30
MCM_STATE | mode=market impulse=-0.6356 motivation=-0.0720 risk=-0.1282 replay=-0.0143 self_state=stressed attractor=neutral mean_energy=1.1744 mean_motivation=0.1778 mean_risk=-1.8630 mean_velocity=0.1454 clusters=1 memory_center=1.5433 memory_strength=30
MCM_STATE | mode=market impulse=-0.8806 motivation=-0.0889 risk=-0.2159 replay=-0.0175 self_state=stressed attractor=neutral mean_energy=-0.5353 mean_motivation=0.0237 mean_risk=-1.8485 mean_velocity=0.3816 clusters=1 memory_center=1.3080 memory_strength=32
MCM_STATE | mode=market impulse=0.8712 motivation=0.2025 risk=-0.0682 replay=-0.0162 self_state=stressed attractor=defense mean_energy=0.0139 mean_motivation=0.0970 mean_risk=-1.8727 mean_velocity=0.3136 clusters=1 memory_center=-2.4142 memory_strength=21
MCM_STATE | mode=market impulse=0.3626 motivation=0.0894 risk=-0.0703 replay=0.0147 self_state=stressed attractor=cooperate mean_energy=0.3319 mean_motivation=0.0840 mean_risk=-1.7273 mean_velocity=0.1628 clusters=1 memory_center=0.6274 memory_strength=25
MCM_STATE | mode=market impulse=-0.5706 motivation=-0.0455 risk=-0.0949 replay=0.0096 self_state=stressed attractor=cooperate mean_energy=-2.4060 mean_motivation=-0.1389 mean_risk=-1.7913 mean_velocity=0.4908 clusters=1 memory_center=0.4254 memory_strength=16
