section;elapsed_ms;extra
step_mcm_brain.snapshot_field_read;16.2374;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4465;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1099;active=0.9043
step_mcm_brain.cluster_detect_snapshot;3.8078;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.7406;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.4302;decision_tendency=hold
step_mcm_brain.primary_field_step;52.9043;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9951;agents=230|neighbors=8
step_mcm_brain.total;91.6680;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;1.3928;agents=230
apply_runtime_result.total;3.3164;decision_tendency=act|runtime_tick_seq=145
step_mcm_brain.cluster_detect_pre_memory;3.3121;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.6411;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.9741;decision_tendency=hold
mcm_field.step.total;68.0116;agents=230|dims=3
mcm_field.step.sync_neurons;1.3103;agents=230|dims=3
step_mcm_brain.total;71.3098;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;16.9725;agents=230|every_n=2
apply_runtime_result.total;3.4184;decision_tendency=hold|runtime_tick_seq=149
step_mcm_brain.snapshot_field_read;17.0007;neurons=230|areals=1
mcm_field.step.build_neighbor_state_map;2.0027;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;16.9908;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4544;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1067;active=0.9311
step_mcm_brain.primary_field_step;68.0507;agents=230|dims=3
apply_runtime_result.total;3.4646;decision_tendency=hold|runtime_tick_seq=153
step_mcm_brain.cluster_detect_snapshot;4.5232;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.4041;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.7334;decision_tendency=hold
step_mcm_brain.primary_field_step;55.9943;agents=230|dims=3
apply_runtime_result.total;3.7579;decision_tendency=observe|runtime_tick_seq=156
step_mcm_brain.cluster_detect_snapshot;3.8175;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.8666;agents=230|neighbors=8
apply_runtime_result.refresh_active_context_trace;0.1063;active=0.9319
step_mcm_brain.primary_field_step;68.2228;agents=230|dims=3
mcm_field.step.sync_neurons;1.3654;agents=230|dims=3
step_mcm_brain.total;71.0197;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;16.5867;agents=230|every_n=2
apply_runtime_result.total;3.3241;decision_tendency=hold|runtime_tick_seq=161
step_mcm_brain.cluster_detect_snapshot;4.3426;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.9953;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;4.4210;decision_tendency=hold
step_mcm_brain.primary_field_step;54.7510;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9250;agents=230|neighbors=8
step_mcm_brain.total;90.6320;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;1.4712;agents=230
apply_runtime_result.total;3.3882;decision_tendency=observe|runtime_tick_seq=166
step_mcm_brain.cluster_detect_snapshot;3.5931;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.9577;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.0151;decision_tendency=hold
mcm_field.step.total;69.7055;agents=230|dims=3
mcm_field.step.sync_neurons;1.5982;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.6524;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4552;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1054;active=0.9172
step_mcm_brain.cluster_detect_snapshot;4.5084;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.6797;agents=230|neighbors=8
compute_runtime_result.total;119.7108;decision_tendency=observe|active_trade=False
mcm_field.step.total;53.5822;agents=230|dims=3
mcm_field.step.sync_neurons;1.3951;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.5527;neurons=230|areals=1
mcm_field.step.build_neighbor_state_map;1.9315;agents=230|neighbors=8
step_mcm_brain.total;72.4638;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;16.9228;agents=230|every_n=2
apply_runtime_result.total;3.3452;decision_tendency=hold|runtime_tick_seq=177
step_mcm_brain.snapshot_field_read;15.4739;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4487;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1047;active=0.9166
step_mcm_brain.cluster_detect_pre_memory;0.0590;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3375;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.3081;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4781;agents=230|dims=3
apply_runtime_result.total;3.4790;decision_tendency=observe|runtime_tick_seq=182
step_mcm_brain.cluster_detect_snapshot;4.0068;clusters=1|agents=230
mcm_field.step.activity_diffusion;17.5397;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.0030;decision_tendency=hold
mcm_field.step.total;69.6993;agents=230|dims=3
mcm_field.step.sync_neurons;1.3757;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.9461;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4931;agents=230|dims=3
apply_runtime_result.refresh_experience_space;3.8801;decision_tendency=observe
step_mcm_brain.primary_field_step;54.6537;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9239;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;16.3555;neurons=230|areals=1
