MCM_DECISION | long_score=1.4856 short_score=-2.7655 memory_center=2.1999 memory_strength=38 self_state=active attractor=explore best_score=1.4856 reject_reason=-
MCM_DECISION | long_score=-0.8492 short_score=-0.1438 memory_center=2.1999 memory_strength=32 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.3067 short_score=0.6326 memory_center=2.1999 memory_strength=27 self_state=stable attractor=explore best_score=0.6326 reject_reason=-
MCM_DECISION | long_score=1.3563 short_score=-2.1628 memory_center=2.1999 memory_strength=23 self_state=active attractor=explore best_score=1.3563 reject_reason=-
MCM_DECISION | long_score=0.6736 short_score=-1.7571 memory_center=2.1746 memory_strength=32 self_state=active attractor=explore best_score=0.6736 reject_reason=-
MCM_DECISION | long_score=0.0998 short_score=-1.3649 memory_center=2.1848 memory_strength=39 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.1648 short_score=-1.2314 memory_center=2.1600 memory_strength=45 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.5115 short_score=0.5715 memory_center=2.1600 memory_strength=38 self_state=active attractor=explore best_score=0.5715 reject_reason=-
MCM_DECISION | long_score=-1.3037 short_score=0.5660 memory_center=2.1600 memory_strength=32 self_state=active attractor=explore best_score=0.5660 reject_reason=-
MCM_DECISION | long_score=-1.3731 short_score=0.5575 memory_center=2.1600 memory_strength=27 self_state=active attractor=explore best_score=0.5575 reject_reason=-
MCM_DECISION | long_score=-1.5524 short_score=0.6981 memory_center=2.1600 memory_strength=23 self_state=active attractor=explore best_score=0.6981 reject_reason=-
MCM_DECISION | long_score=-0.5483 short_score=-0.5357 memory_center=-1.7665 memory_strength=25 self_state=active attractor=defense best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.0449 short_score=-0.7559 memory_center=-1.7665 memory_strength=21 self_state=active attractor=defense best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.9411 short_score=-1.6292 memory_center=-1.7665 memory_strength=18 self_state=active attractor=defense best_score=0.9411 reject_reason=-
MCM_DECISION | long_score=0.5764 short_score=-1.3348 memory_center=2.1197 memory_strength=24 self_state=active attractor=explore best_score=0.5764 reject_reason=-
MCM_DECISION | long_score=0.8946 short_score=-1.9329 memory_center=2.1598 memory_strength=32 self_state=active attractor=explore best_score=0.8946 reject_reason=-
MCM_DECISION | long_score=-0.9172 short_score=0.1317 memory_center=2.1598 memory_strength=27 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.4730 short_score=-2.6180 memory_center=2.1798 memory_strength=35 self_state=active attractor=explore best_score=1.4730 reject_reason=-
MCM_DECISION | long_score=-1.7210 short_score=0.9902 memory_center=2.1798 memory_strength=30 self_state=active attractor=explore best_score=0.9902 reject_reason=-
MCM_DECISION | long_score=1.3345 short_score=-2.5291 memory_center=2.1899 memory_strength=38 self_state=active attractor=explore best_score=1.3345 reject_reason=-
MCM_DECISION | long_score=-1.7480 short_score=0.8888 memory_center=2.1899 memory_strength=32 self_state=active attractor=explore best_score=0.8888 reject_reason=-
MCM_DECISION | long_score=0.0896 short_score=-0.9460 memory_center=0.4763 memory_strength=32 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.8518 short_score=-1.6707 memory_center=0.4763 memory_strength=27 self_state=active attractor=cooperate best_score=0.8518 reject_reason=-
MCM_DECISION | long_score=1.5661 short_score=-2.6331 memory_center=2.1949 memory_strength=32 self_state=active attractor=explore best_score=1.5661 reject_reason=-
MCM_DECISION | long_score=-1.2372 short_score=0.3827 memory_center=0.3528 memory_strength=27 self_state=active attractor=cooperate best_score=0.3827 reject_reason=-
MCM_DECISION | long_score=0.3392 short_score=-1.2463 memory_center=-0.8329 memory_strength=25 self_state=active attractor=analysis best_score=0.3392 reject_reason=-
MCM_DECISION | long_score=-0.8609 short_score=-0.1451 memory_center=-0.8329 memory_strength=21 self_state=active attractor=analysis best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.4060 short_score=-0.6786 memory_center=-1.2674 memory_strength=25 self_state=active attractor=analysis best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.2419 short_score=0.2313 memory_center=-1.2674 memory_strength=21 self_state=active attractor=analysis best_score=0.2313 reject_reason=-
MCM_DECISION | long_score=1.3231 short_score=-1.9414 memory_center=-1.2674 memory_strength=18 self_state=active attractor=analysis best_score=1.3231 reject_reason=-
MCM_DECISION | long_score=1.2802 short_score=-2.1203 memory_center=2.1975 memory_strength=20 self_state=active attractor=explore best_score=1.2802 reject_reason=-
MCM_DECISION | long_score=0.4315 short_score=-1.1109 memory_center=2.1975 memory_strength=17 self_state=active attractor=explore best_score=0.4315 reject_reason=-
MCM_DECISION | long_score=-0.3489 short_score=-0.2830 memory_center=0.8197 memory_strength=21 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.6457 short_score=1.2018 memory_center=0.8197 memory_strength=18 self_state=active attractor=cooperate best_score=1.2018 reject_reason=-
MCM_DECISION | long_score=1.2379 short_score=-2.0636 memory_center=1.6028 memory_strength=21 self_state=active attractor=explore best_score=1.2379 reject_reason=-
MCM_DECISION | long_score=-1.1783 short_score=0.2938 memory_center=0.8200 memory_strength=25 self_state=active attractor=cooperate best_score=0.2938 reject_reason=-
MCM_DECISION | long_score=1.4596 short_score=-2.2944 memory_center=0.8200 memory_strength=21 self_state=active attractor=cooperate best_score=1.4596 reject_reason=-
MCM_DECISION | long_score=-0.5380 short_score=-0.3686 memory_center=0.9747 memory_strength=30 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
