MCM_DECISION | long_score=0.1780 short_score=-1.8336 memory_center=-2.1978 memory_strength=20 self_state=stressed attractor=defense felt_bearing_score=0.5984 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.2539 short_score=-2.8648 memory_center=0.2066 memory_strength=27 self_state=stressed attractor=cooperate felt_bearing_score=0.5959 felt_profile_label=mixed_unclear best_score=1.2539 reject_reason=-
MCM_DECISION | long_score=-0.0926 short_score=-1.4501 memory_center=-2.3501 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.6030 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.4766 short_score=1.0438 memory_center=-2.1587 memory_strength=22 self_state=stressed attractor=defense felt_bearing_score=0.5928 felt_profile_label=mixed_unclear best_score=1.0438 reject_reason=-
MCM_DECISION | long_score=-2.6649 short_score=0.9885 memory_center=-2.1987 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.5941 felt_profile_label=mixed_unclear best_score=0.9885 reject_reason=-
MCM_DECISION | long_score=-2.6668 short_score=0.9087 memory_center=-0.1093 memory_strength=31 self_state=stressed attractor=cooperate felt_bearing_score=0.5910 felt_profile_label=mixed_unclear best_score=0.9087 reject_reason=-
MCM_DECISION | long_score=1.2628 short_score=-2.6805 memory_center=2.1781 memory_strength=28 self_state=stressed attractor=explore felt_bearing_score=0.3741 felt_profile_label=recovering best_score=1.2628 reject_reason=-
MCM_DECISION | long_score=-2.7478 short_score=0.9578 memory_center=-1.5881 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.3642 felt_profile_label=mixed_unclear best_score=0.9578 reject_reason=-
MCM_DECISION | long_score=-1.0793 short_score=-0.1969 memory_center=-0.3550 memory_strength=23 self_state=stressed attractor=defense felt_bearing_score=0.5873 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-1.5622 short_score=0.3478 memory_center=-0.1348 memory_strength=23 self_state=stressed attractor=cooperate felt_bearing_score=0.6058 felt_profile_label=mixed_unclear best_score=0.3478 reject_reason=-
MCM_DECISION | long_score=0.2490 short_score=-1.8587 memory_center=-2.4906 memory_strength=42 self_state=stressed attractor=defense felt_bearing_score=0.5922 felt_profile_label=recovering best_score=0.2490 reject_reason=-
MCM_DECISION | long_score=-2.4024 short_score=0.5689 memory_center=-1.6174 memory_strength=27 self_state=stressed attractor=defense felt_bearing_score=0.6047 felt_profile_label=mixed_unclear best_score=0.5689 reject_reason=-
MCM_DECISION | long_score=-1.6342 short_score=-0.1143 memory_center=-2.4472 memory_strength=30 self_state=stressed attractor=defense felt_bearing_score=0.6054 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.1817 short_score=0.0447 memory_center=1.2041 memory_strength=25 self_state=stressed attractor=neutral felt_bearing_score=0.3708 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.7356 short_score=-2.6675 memory_center=1.1508 memory_strength=41 self_state=stressed attractor=cooperate felt_bearing_score=0.6134 felt_profile_label=mixed_unclear best_score=0.7356 reject_reason=-
MCM_DECISION | long_score=-0.4565 short_score=-0.7418 memory_center=1.3218 memory_strength=40 self_state=stressed attractor=neutral felt_bearing_score=0.5960 felt_profile_label=recovering best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-1.1458 short_score=-0.2072 memory_center=-0.9801 memory_strength=24 self_state=stressed attractor=defense felt_bearing_score=0.5914 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-2.7373 short_score=0.9415 memory_center=-1.4795 memory_strength=27 self_state=stressed attractor=defense felt_bearing_score=0.5828 felt_profile_label=mixed_unclear best_score=0.9415 reject_reason=-
MCM_DECISION | long_score=0.5138 short_score=-1.8265 memory_center=-1.5095 memory_strength=22 self_state=stressed attractor=defense felt_bearing_score=0.5849 felt_profile_label=mixed_unclear best_score=0.5138 reject_reason=-
MCM_DECISION | long_score=0.3254 short_score=-1.5117 memory_center=-1.9327 memory_strength=18 self_state=stressed attractor=defense felt_bearing_score=0.5972 felt_profile_label=recovering best_score=0.3254 reject_reason=-
MCM_DECISION | long_score=0.4667 short_score=-2.0055 memory_center=-1.3498 memory_strength=43 self_state=stressed attractor=defense felt_bearing_score=0.3861 felt_profile_label=mixed_unclear best_score=0.4667 reject_reason=-
MCM_DECISION | long_score=-0.7010 short_score=-0.7007 memory_center=1.4422 memory_strength=28 self_state=stressed attractor=neutral felt_bearing_score=0.5938 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.9735 short_score=-2.4908 memory_center=1.3760 memory_strength=24 self_state=stressed attractor=neutral felt_bearing_score=0.5943 felt_profile_label=mixed_unclear best_score=0.9735 reject_reason=-
MCM_DECISION | long_score=-2.1338 short_score=0.8704 memory_center=1.3088 memory_strength=33 self_state=stressed attractor=neutral felt_bearing_score=0.5982 felt_profile_label=mixed_unclear best_score=0.8704 reject_reason=-
MCM_DECISION | long_score=-1.4395 short_score=0.1031 memory_center=0.6489 memory_strength=20 self_state=stressed attractor=cooperate felt_bearing_score=0.5967 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-3.0586 short_score=1.1927 memory_center=-2.1911 memory_strength=30 self_state=stressed attractor=defense felt_bearing_score=0.5900 felt_profile_label=mixed_unclear best_score=1.1927 reject_reason=-
MCM_DECISION | long_score=-0.0273 short_score=-1.1933 memory_center=-2.2774 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.5966 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.3424 short_score=-1.8407 memory_center=-1.1985 memory_strength=24 self_state=stressed attractor=defense felt_bearing_score=0.5928 felt_profile_label=mixed_unclear best_score=0.3424 reject_reason=-
MCM_DECISION | long_score=0.7340 short_score=-2.6102 memory_center=0.3991 memory_strength=43 self_state=stressed attractor=cooperate felt_bearing_score=0.6003 felt_profile_label=mixed_unclear best_score=0.7340 reject_reason=-
MCM_DECISION | long_score=0.3093 short_score=-1.7349 memory_center=0.4289 memory_strength=32 self_state=stressed attractor=cooperate felt_bearing_score=0.5823 felt_profile_label=mixed_unclear best_score=0.3093 reject_reason=-
MCM_DECISION | long_score=-1.3264 short_score=0.0788 memory_center=-0.7725 memory_strength=21 self_state=stressed attractor=defense felt_bearing_score=0.5919 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.9910 short_score=0.2928 memory_center=-0.8832 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.5989 felt_profile_label=mixed_unclear best_score=0.2928 reject_reason=-
MCM_DECISION | long_score=0.5050 short_score=-2.0320 memory_center=-1.3655 memory_strength=35 self_state=stressed attractor=defense felt_bearing_score=0.5961 felt_profile_label=mixed_unclear best_score=0.5050 reject_reason=-
MCM_DECISION | long_score=0.3015 short_score=-1.6684 memory_center=-0.8012 memory_strength=22 self_state=stressed attractor=defense felt_bearing_score=0.6082 felt_profile_label=mixed_unclear best_score=0.3015 reject_reason=-
MCM_DECISION | long_score=-0.4601 short_score=-0.7148 memory_center=2.3669 memory_strength=22 self_state=stressed attractor=explore felt_bearing_score=0.5790 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.3315 short_score=-2.9393 memory_center=1.3211 memory_strength=28 self_state=stressed attractor=neutral felt_bearing_score=0.5739 felt_profile_label=mixed_unclear best_score=1.3315 reject_reason=-
MCM_DECISION | long_score=-1.8161 short_score=0.5771 memory_center=-0.1964 memory_strength=25 self_state=stressed attractor=cooperate felt_bearing_score=0.3749 felt_profile_label=mixed_unclear best_score=0.5771 reject_reason=-
